날짜,지역명,지표,거래구분,값
2024-11-18,경기,가격지수,매매,98.4136
2024-11-25,경기,가격지수,매매,98.4094
2024-12-02,경기,가격지수,매매,98.4146
2024-12-09,경기,가격지수,매매,98.4108
2024-12-16,경기,가격지수,매매,98.3907
2024-12-23,경기,가격지수,매매,98.3744
2024-12-30,경기,가격지수,매매,98.3452
2025-01-06,경기,가격지수,매매,98.2989
2025-01-13,경기,가격지수,매매,98.2373
2025-01-20,경기,가격지수,매매,98.1787
2025-02-03,경기,가격지수,매매,98.1277
2025-02-10,경기,가격지수,매매,98.1123
2025-02-17,경기,가격지수,매매,98.085
2025-02-24,경기,가격지수,매매,98.0465
2025-03-03,경기,가격지수,매매,98.0416
2025-03-10,경기,가격지수,매매,98.0323
2025-03-17,경기,가격지수,매매,98.0218
2025-03-24,경기,가격지수,매매,98.0068
2025-03-31,경기,가격지수,매매,97.9972
2025-04-07,경기,가격지수,매매,97.9975
2025-04-14,경기,가격지수,매매,97.9925
2025-04-21,경기,가격지수,매매,97.9865
2025-04-28,경기,가격지수,매매,97.9883
2025-05-05,경기,가격지수,매매,97.9926
2025-05-12,경기,가격지수,매매,97.9963
2025-05-19,경기,가격지수,매매,97.9891
2025-05-26,경기,가격지수,매매,98.0001
2025-06-02,경기,가격지수,매매,98.0155
2025-06-09,경기,가격지수,매매,98.0411
2025-06-16,경기,가격지수,매매,98.0973
2025-06-23,경기,가격지수,매매,98.1837
2025-06-30,경기,가격지수,매매,98.2394
2025-07-07,경기,가격지수,매매,98.278
2025-07-14,경기,가격지수,매매,98.3076
2025-07-21,경기,가격지수,매매,98.3269
2025-07-28,경기,가격지수,매매,98.3308
2025-08-04,경기,가격지수,매매,98.3281
2025-08-11,경기,가격지수,매매,98.3413
2025-08-18,경기,가격지수,매매,98.3479
2025-08-25,경기,가격지수,매매,98.3664
2025-09-01,경기,가격지수,매매,98.3919
2025-09-08,경기,가격지수,매매,98.4316
2025-09-15,경기,가격지수,매매,98.4774
2025-09-22,경기,가격지수,매매,98.535
2025-09-29,경기,가격지수,매매,98.6304
2025-10-13,경기,가격지수,매매,98.7795
2025-10-20,경기,가격지수,매매,98.953
2025-10-27,경기,가격지수,매매,99.1009
2025-11-03,경기,가격지수,매매,99.1799
2025-11-10,경기,가격지수,매매,99.2598
2025-11-17,경기,가격지수,매매,99.3532
2025-11-24,경기,가격지수,매매,99.4246
2025-12-01,경기,가격지수,매매,99.49
2025-12-08,경기,가격지수,매매,99.5583
2025-12-15,경기,가격지수,매매,99.6415
2025-12-22,경기,가격지수,매매,99.7141
2025-12-29,경기,가격지수,매매,99.8033
2026-01-05,경기,가격지수,매매,99.899
2026-01-12,경기,가격지수,매매,100.0
2026-01-19,경기,가격지수,매매,100.1314
2026-01-26,경기,가격지수,매매,100.2708
2026-02-02,경기,가격지수,매매,100.4153
2026-02-09,경기,가격지수,매매,100.5449
2026-02-23,경기,가격지수,매매,100.7143
2026-03-02,경기,가격지수,매매,100.8325
2026-03-09,경기,가격지수,매매,101.0044
2026-03-16,경기,가격지수,매매,101.1292
2026-03-23,경기,가격지수,매매,101.2537
2026-03-30,경기,가격지수,매매,101.3742
2026-04-06,경기,가격지수,매매,101.4811
2026-04-13,경기,가격지수,매매,101.5677
2026-04-20,경기,가격지수,매매,101.6801
2026-04-27,경기,가격지수,매매,101.7656
2026-05-04,경기,가격지수,매매,101.852
2026-05-11,경기,가격지수,매매,101.9638
2026-05-18,경기,가격지수,매매,102.0746
2026-05-25,경기,가격지수,매매,102.1617
2026-06-01,경기,가격지수,매매,102.2919
2026-06-08,경기,가격지수,매매,102.4576
2026-06-15,경기,가격지수,매매,102.6305
2026-06-22,경기,가격지수,매매,102.8212
2024-06-24,경남,가격지수,매매,102.1637
2024-07-01,경남,가격지수,매매,102.1475
2024-07-08,경남,가격지수,매매,102.0999
2024-07-15,경남,가격지수,매매,102.0789
2024-07-22,경남,가격지수,매매,102.0383
